"days","loss_count","loss_type","claim_source","time_frame","loss_country","minimum","maximum","category","source_target"
100,124800,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
101,125200,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
102,125600,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
103,126000,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
104,126440,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
123,140400,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
123,34850,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
123,3659,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
123,1532,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
123,764,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
123,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
123,184,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
123,14,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
124,141000,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
124,35000,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
124,3687,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
124,1552,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
124,771,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
124,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
124,184,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
124,14,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
125,142000,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
125,35250,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
125,3704,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
125,1567,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
125,778,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
125,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
125,185,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
125,14,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
126,142800,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
126,35450,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
126,3720,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
